"Input invariants"	"Petal permutation"	"Actual invariants"
"{ 19.,  12.,   6., 575.}"	"{-4.3743, -4.0584, -4.7052, -5.4574, -6.4550, -6.1780, -6.4009, -5.6128, -4.0428, -5.6636, -4.9755, -5.7802, -6.1433, -5.5705, -6.1259, -8.0596, -3.1047, -4.6434, -6.4689, -1.9253, -3.6033, -3.0459, -4.6218, -2.8048, -3.0300}"	"{15, 10, -2, 55, {{-10, -1}, {-9, 4}, {-8, -8}, {-7, 14}, {-6, -20}, {-5, 22}, {-4, -21}, {-3, 15}, {-2, -6}, {-1, -3}, {0, 11}, {1, -13}, {2, 13}, {3, -9}, {4, 5}, {5, -2}}, {{-5, -1}, {-4, 3}, {-3, -1}, {-2, -7}, {-1, 16}, {0, -19}, {1, 16}, {2, -7}, {3, -1}, {4, 3}, {5, -1}}}"
"{  23.,   16.,   -4., 2149.}"	"{-16.3747, -15.1807, -17.6033, -20.4330, -24.1759, -23.1163, -23.9398, -20.9976, -15.1323, -21.2124, -18.6135, -21.6198, -22.9633, -20.8394, -22.9123, -30.1574, -11.6151, -17.3821, -24.2037,  -7.2145, -13.4835, -11.4007, -17.2938, -10.4878, -11.3495}"	"{15, 10, -2, 55, {{-10, -1}, {-9, 4}, {-8, -8}, {-7, 14}, {-6, -20}, {-5, 22}, {-4, -21}, {-3, 15}, {-2, -6}, {-1, -3}, {0, 11}, {1, -13}, {2, 13}, {3, -9}, {4, 5}, {5, -2}}, {{-5, -1}, {-4, 3}, {-3, -1}, {-2, -7}, {-1, 16}, {0, -19}, {1, 16}, {2, -7}, {3, -1}, {4, 3}, {5, -1}}}"
"{0., 0., 0., 1.}"	"{-0.0111, -0.0112, -0.0122, -0.0131, -0.0154, -0.0169, -0.0205, -0.0166, -0.0119, -0.0157, -0.0132, -0.0181, -0.0190, -0.0159, -0.0180, -0.0210, -0.0107, -0.0119, -0.0168, -0.0052, -0.0120, -0.0080, -0.0125, -0.0077, -0.0075}"	"{7, 4, 2, 19, {{-1, 1}, {0, -2}, {1, 3}, {2, -3}, {3, 4}, {4, -3}, {5, 2}, {6, -1}}, {{-2, -1}, {-1, 5}, {0, -7}, {1, 5}, {2, -1}}}"
"{10.,  8.,  0., 61.}"	"{-0.4699, -0.4377, -0.5073, -0.5862, -0.6904, -0.6656, -0.6927, -0.6068, -0.4346, -0.6069, -0.5371, -0.6257, -0.6657, -0.6014, -0.6606, -0.8683, -0.3356, -0.4985, -0.6968, -0.2060, -0.3876, -0.3270, -0.4980, -0.3036, -0.3246}"	"{17, 12, -2, 287, {{-10, -1}, {-9, 5}, {-8, -14}, {-7, 30}, {-6, -50}, {-5, 68}, {-4, -79}, {-3, 76}, {-2, -60}, {-1, 34}, {0, -4}, {1, -18}, {2, 32}, {3, -33}, {4, 26}, {5, -16}, {6, 7}, {7, -2}}, {{-6, 1}, {-5, -6}, {-4, 11}, {-3, 2}, {-2, -38}, {-1, 76}, {0, -91}, {1, 76}, {2, -38}, {3, 2}, {4, 11}, {5, -6}, {6, 1}}}"
"{  21.,   12.,   -6., 2259.}"	"{-17.2086, -15.9525, -18.4995, -21.4737, -25.4078, -24.2927, -25.1579, -22.0661, -15.9034, -22.2936, -19.5603, -22.7199, -24.1309, -21.9000, -24.0781, -31.6918, -12.2067, -18.2674, -25.4351,  -7.5823, -14.1700, -11.9812, -18.1741, -11.0210, -11.9278}"	"{15, 10, -2, 55, {{-10, -1}, {-9, 4}, {-8, -8}, {-7, 14}, {-6, -20}, {-5, 22}, {-4, -21}, {-3, 15}, {-2, -6}, {-1, -3}, {0, 11}, {1, -13}, {2, 13}, {3, -9}, {4, 5}, {5, -2}}, {{-5, -1}, {-4, 3}, {-3, -1}, {-2, -7}, {-1, 16}, {0, -19}, {1, 16}, {2, -7}, {3, -1}, {4, 3}, {5, -1}}}"
"{11.,  8.,  0.,  9.}"	"{-0.0921, -0.0950, -0.1023, -0.1118, -0.1293, -0.1374, -0.1478, -0.1274, -0.0882, -0.1169, -0.1089, -0.1368, -0.1434, -0.1256, -0.1367, -0.1764, -0.0715, -0.0924, -0.1447, -0.0384, -0.0800, -0.0671, -0.1081, -0.0650, -0.0675}"	"{16, 10, 0, 281, {{-6, 1}, {-5, -4}, {-4, 11}, {-3, -22}, {-2, 38}, {-1, -54}, {0, 64}, {1, -63}, {2, 51}, {3, -32}, {4, 11}, {5, 7}, {6, -18}, {7, 20}, {8, -15}, {9, 8}, {10, -2}}, {{-5, -1}, {-4, 7}, {-3, -23}, {-2, 40}, {-1, -46}, {0, 47}, {1, -46}, {2, 40}, {3, -23}, {4, 7}, {5, -1}}}"
"{ 15.,  10.,  -4., 581.}"	"{-4.4291, -4.1078, -4.7633, -5.5279, -6.5365, -6.2548, -6.4803, -5.6836, -4.0936, -5.7367, -5.0373, -5.8530, -6.2167, -5.6398, -6.1986, -8.1596, -3.1438, -4.7009, -6.5498, -1.9504, -3.6465, -3.0844, -4.6801, -2.8393, -3.0699}"	"{15, 10, -2, 55, {{-10, -1}, {-9, 4}, {-8, -8}, {-7, 14}, {-6, -20}, {-5, 22}, {-4, -21}, {-3, 15}, {-2, -6}, {-1, -3}, {0, 11}, {1, -13}, {2, 13}, {3, -9}, {4, 5}, {5, -2}}, {{-5, -1}, {-4, 3}, {-3, -1}, {-2, -7}, {-1, 16}, {0, -19}, {1, 16}, {2, -7}, {3, -1}, {4, 3}, {5, -1}}}"
"{ 16.,  16., -12., 261.}"	"{-2.0269, -1.8828, -2.1822, -2.5335, -2.9876, -2.8657, -2.9723, -2.6088, -1.8740, -2.6244, -2.3105, -2.6864, -2.8503, -2.5852, -2.8364, -3.7378, -1.4405, -2.1502, -3.0025, -0.8925, -1.6668, -1.4126, -2.1450, -1.3030, -1.4070}"	"{15, 10, -2, 55, {{-10, -1}, {-9, 4}, {-8, -8}, {-7, 14}, {-6, -20}, {-5, 22}, {-4, -21}, {-3, 15}, {-2, -6}, {-1, -3}, {0, 11}, {1, -13}, {2, 13}, {3, -9}, {4, 5}, {5, -2}}, {{-5, -1}, {-4, 3}, {-3, -1}, {-2, -7}, {-1, 16}, {0, -19}, {1, 16}, {2, -7}, {3, -1}, {4, 3}, {5, -1}}}"
"{10.,  2.,  0.,  9.}"	"{-0.0760, -0.0759, -0.0851, -0.0937, -0.1079, -0.1132, -0.1209, -0.1039, -0.0724, -0.0972, -0.0889, -0.1111, -0.1178, -0.1031, -0.1123, -0.1447, -0.0589, -0.0790, -0.1181, -0.0325, -0.0655, -0.0549, -0.0873, -0.0528, -0.0538}"	"{15, 12, -2, 763, {{-7, 1}, {-6, -4}, {-5, 11}, {-4, -22}, {-3, 38}, {-2, -58}, {-1, 79}, {0, -97}, {1, 105}, {2, -102}, {3, 90}, {4, -69}, {5, 47}, {6, -26}, {7, 11}, {8, -3}}, {{-6, -1}, {-5, 6}, {-4, -23}, {-3, 57}, {-2, -97}, {-1, 128}, {0, -139}, {1, 128}, {2, -97}, {3, 57}, {4, -23}, {5, 6}, {6, -1}}}"
"{  20.,   18.,    6., 1083.}"	"{ -8.2527,  -7.6531,  -8.8725, -10.2953, -12.1815, -11.6511, -12.0678, -10.5832,  -7.6256, -10.6871,  -9.3830, -10.8976, -11.5785, -10.5044, -11.5521, -15.2016,  -5.8542,  -8.7598, -12.1992,  -3.6346,  -6.7966,  -5.7448,  -8.7159,  -5.2877,  -5.7172}"	"{15, 10, -2, 55, {{-10, -1}, {-9, 4}, {-8, -8}, {-7, 14}, {-6, -20}, {-5, 22}, {-4, -21}, {-3, 15}, {-2, -6}, {-1, -3}, {0, 11}, {1, -13}, {2, 13}, {3, -9}, {4, 5}, {5, -2}}, {{-5, -1}, {-4, 3}, {-3, -1}, {-2, -7}, {-1, 16}, {0, -19}, {1, 16}, {2, -7}, {3, -1}, {4, 3}, {5, -1}}}"
"{1.9000e+01, 1.4000e+01, 2.0000e+00, 7.5430e+03}"	"{ -57.4170,  -53.2157,  -61.7107,  -71.6336,  -84.7869,  -81.0371,  -83.9124,  -73.5980,  -53.0559,  -74.3877,  -65.2456,  -75.7746,  -80.4834,  -73.0524,  -80.3330, -105.7273,  -40.7190,  -60.9505,  -84.8430,  -25.3014,  -47.2851,  -39.9678,  -60.6235,  -36.7570,  -39.7927}"	"{15, 10, -2, 55, {{-10, -1}, {-9, 4}, {-8, -8}, {-7, 14}, {-6, -20}, {-5, 22}, {-4, -21}, {-3, 15}, {-2, -6}, {-1, -3}, {0, 11}, {1, -13}, {2, 13}, {3, -9}, {4, 5}, {5, -2}}, {{-5, -1}, {-4, 3}, {-3, -1}, {-2, -7}, {-1, 16}, {0, -19}, {1, 16}, {2, -7}, {3, -1}, {4, 3}, {5, -1}}}"
"{16., 14., -8.,  9.}"	"{-0.1559, -0.1605, -0.1725, -0.1923, -0.2194, -0.2325, -0.2476, -0.2149, -0.1491, -0.1975, -0.1840, -0.2309, -0.2404, -0.2133, -0.2317, -0.2990, -0.1194, -0.1580, -0.2448, -0.0656, -0.1337, -0.1136, -0.1817, -0.1110, -0.1151}"	"{16, 10, 0, 545, {{-4, 1}, {-3, -3}, {-2, 11}, {-1, -28}, {0, 55}, {1, -85}, {2, 107}, {3, -113}, {4, 101}, {5, -74}, {6, 39}, {7, -6}, {8, -17}, {9, 26}, {10, -21}, {11, 11}, {12, -3}}, {{-5, -1}, {-4, 10}, {-3, -43}, {-2, 85}, {-1, -92}, {0, 83}, {1, -92}, {2, 85}, {3, -43}, {4, 10}, {5, -1}}}"
"{15., 18., 12., 53.}"	"{-0.4159, -0.3952, -0.4497, -0.5179, -0.6097, -0.5935, -0.6191, -0.5410, -0.3846, -0.5342, -0.4802, -0.5588, -0.5993, -0.5360, -0.5936, -0.7750, -0.2979, -0.4411, -0.6227, -0.1820, -0.3464, -0.2907, -0.4452, -0.2721, -0.2869}"	"{16, 12, 0, 637, {{-7, -1}, {-6, 4}, {-5, -10}, {-4, 20}, {-3, -34}, {-2, 51}, {-1, -67}, {0, 80}, {1, -85}, {2, 82}, {3, -71}, {4, 55}, {5, -38}, {6, 23}, {7, -11}, {8, 4}, {9, -1}}, {{-6, 2}, {-5, -11}, {-4, 28}, {-3, -50}, {-2, 76}, {-1, -98}, {0, 107}, {1, -98}, {2, 76}, {3, -50}, {4, 28}, {5, -11}, {6, 2}}}"
"{ 19.,  20.,  -6., 199.}"	"{-1.5507, -1.4428, -1.6709, -1.9379, -2.2835, -2.1939, -2.2769, -1.9984, -1.4334, -2.0054, -1.7704, -2.0580, -2.1854, -1.9797, -2.1730, -2.8619, -1.1023, -1.6447, -2.2993, -0.6819, -1.2756, -1.0808, -1.6419, -0.9990, -1.0758}"	"{15, 10, -2, 55, {{-10, -1}, {-9, 4}, {-8, -8}, {-7, 14}, {-6, -20}, {-5, 22}, {-4, -21}, {-3, 15}, {-2, -6}, {-1, -3}, {0, 11}, {1, -13}, {2, 13}, {3, -9}, {4, 5}, {5, -2}}, {{-5, -1}, {-4, 3}, {-3, -1}, {-2, -7}, {-1, 16}, {0, -19}, {1, 16}, {2, -7}, {3, -1}, {4, 3}, {5, -1}}}"
"{ 19.,  10.,   4., 417.}"	"{-3.1669, -2.9390, -3.4079, -3.9518, -4.6723, -4.4743, -4.6367, -4.0655, -2.9276, -4.0998, -3.6034, -4.1874, -4.4509, -4.0346, -4.4361, -5.8362, -2.2487, -3.3621, -4.6850, -1.3935, -2.6087, -2.2058, -3.3472, -2.0319, -2.1936}"	"{15, 10, -2, 55, {{-10, -1}, {-9, 4}, {-8, -8}, {-7, 14}, {-6, -20}, {-5, 22}, {-4, -21}, {-3, 15}, {-2, -6}, {-1, -3}, {0, 11}, {1, -13}, {2, 13}, {3, -9}, {4, 5}, {5, -2}}, {{-5, -1}, {-4, 3}, {-3, -1}, {-2, -7}, {-1, 16}, {0, -19}, {1, 16}, {2, -7}, {3, -1}, {4, 3}, {5, -1}}}"
"{ 21.,  14., -10.,  19.}"	"{-0.2228, -0.2223, -0.2462, -0.2812, -0.3213, -0.3297, -0.3441, -0.3005, -0.2113, -0.2845, -0.2627, -0.3181, -0.3345, -0.2974, -0.3222, -0.4220, -0.1653, -0.2331, -0.3443, -0.0959, -0.1858, -0.1606, -0.2506, -0.1531, -0.1613}"	"{15, 12, -4, 101, {{-8, 1}, {-7, -2}, {-6, 2}, {-5, -1}, {-3, -1}, {-2, 4}, {-1, -8}, {0, 12}, {1, -15}, {2, 17}, {3, -15}, {4, 12}, {5, -7}, {6, 3}, {7, -1}}, {{-6, 1}, {-5, -6}, {-4, 14}, {-3, -17}, {-2, 11}, {-1, -2}, {0, -1}, {1, -2}, {2, 11}, {3, -17}, {4, 14}, {5, -6}, {6, 1}}}"
"{  20.,   16.,  -10., 1011.}"	"{ -7.7246,  -7.1635,  -8.3062,  -9.6419, -11.4018, -10.9075, -11.2991,  -9.9113,  -7.1393, -10.0061,  -8.7849, -10.2053, -10.8381,  -9.8346, -10.8088, -14.2299,  -5.4812,  -8.1987, -11.4224,  -3.4031,  -6.3587,  -5.3795,  -8.1614,  -4.9508,  -5.3555}"	"{15, 10, -2, 55, {{-10, -1}, {-9, 4}, {-8, -8}, {-7, 14}, {-6, -20}, {-5, 22}, {-4, -21}, {-3, 15}, {-2, -6}, {-1, -3}, {0, 11}, {1, -13}, {2, 13}, {3, -9}, {4, 5}, {5, -2}}, {{-5, -1}, {-4, 3}, {-3, -1}, {-2, -7}, {-1, 16}, {0, -19}, {1, 16}, {2, -7}, {3, -1}, {4, 3}, {5, -1}}}"
"{ 9.,  6.,  0., 29.}"	"{-0.2229, -0.2086, -0.2418, -0.2780, -0.3259, -0.3169, -0.3315, -0.2901, -0.2065, -0.2873, -0.2559, -0.2997, -0.3191, -0.2870, -0.3148, -0.4131, -0.1607, -0.2362, -0.3319, -0.0971, -0.1847, -0.1551, -0.2372, -0.1452, -0.1538}"	"{17, 10, 0, 713, {{-7, -1}, {-6, 5}, {-5, -15}, {-4, 33}, {-3, -57}, {-2, 84}, {-1, -106}, {0, 116}, {1, -111}, {2, 92}, {3, -64}, {4, 36}, {5, -12}, {6, -2}, {7, 7}, {8, -6}, {9, 3}, {10, -1}}, {{-5, 1}, {-4, -1}, {-3, -20}, {-2, 83}, {-1, -159}, {0, 193}, {1, -159}, {2, 83}, {3, -20}, {4, -1}, {5, 1}}}"
"{  21.,   20.,    6., 4055.}"	"{-30.8735, -28.6175, -33.1842, -38.5170, -45.5866, -43.5760, -45.1247, -39.5775, -28.5284, -39.9949, -35.0868, -40.7485, -43.2838, -39.2837, -43.2003, -56.8538, -21.8956, -32.7728, -45.6235, -13.6031, -25.4256, -21.4910, -32.5991, -19.7676, -21.3953}"	"{15, 10, -2, 55, {{-10, -1}, {-9, 4}, {-8, -8}, {-7, 14}, {-6, -20}, {-5, 22}, {-4, -21}, {-3, 15}, {-2, -6}, {-1, -3}, {0, 11}, {1, -13}, {2, 13}, {3, -9}, {4, 5}, {5, -2}}, {{-5, -1}, {-4, 3}, {-3, -1}, {-2, -7}, {-1, 16}, {0, -19}, {1, 16}, {2, -7}, {3, -1}, {4, 3}, {5, -1}}}"
"{ 13.,   8.,  -2., 235.}"	"{-1.7908, -1.6621, -1.9275, -2.2355, -2.6408, -2.5308, -2.6239, -2.3007, -1.6558, -2.3185, -2.0385, -2.3703, -2.5182, -2.2826, -2.5079, -3.3009, -1.2727, -1.9005, -2.6501, -0.7879, -1.4744, -1.2475, -1.8937, -1.1498, -1.2406}"	"{15, 10, -2, 55, {{-10, -1}, {-9, 4}, {-8, -8}, {-7, 14}, {-6, -20}, {-5, 22}, {-4, -21}, {-3, 15}, {-2, -6}, {-1, -3}, {0, 11}, {1, -13}, {2, 13}, {3, -9}, {4, 5}, {5, -2}}, {{-5, -1}, {-4, 3}, {-3, -1}, {-2, -7}, {-1, 16}, {0, -19}, {1, 16}, {2, -7}, {3, -1}, {4, 3}, {5, -1}}}"
"{0., 0., 0., 1.}"	"{-0.0131, -0.0128, -0.0142, -0.0152, -0.0182, -0.0193, -0.0229, -0.0188, -0.0134, -0.0180, -0.0153, -0.0204, -0.0214, -0.0182, -0.0207, -0.0245, -0.0119, -0.0137, -0.0194, -0.0060, -0.0134, -0.0090, -0.0146, -0.0089, -0.0086}"	"{11, 10, 4, 101, {{0, 1}, {1, -3}, {2, 7}, {3, -10}, {4, 14}, {5, -16}, {6, 16}, {7, -14}, {8, 10}, {9, -6}, {10, 3}, {11, -1}}, {{-5, -1}, {-4, 4}, {-3, -8}, {-2, 13}, {-1, -16}, {0, 17}, {1, -16}, {2, 13}, {3, -8}, {4, 4}, {5, -1}}}"
"{16., 10.,  0., 97.}"	"{-0.7441, -0.6933, -0.8036, -0.9298, -1.0944, -1.0544, -1.0959, -0.9610, -0.6885, -0.9616, -0.8505, -0.9904, -1.0532, -0.9519, -1.0449, -1.3745, -0.5306, -0.7897, -1.1048, -0.3264, -0.6133, -0.5190, -0.7889, -0.4806, -0.5155}"	"{15, 10, -2, 55, {{-10, -1}, {-9, 4}, {-8, -8}, {-7, 14}, {-6, -20}, {-5, 22}, {-4, -21}, {-3, 15}, {-2, -6}, {-1, -3}, {0, 11}, {1, -13}, {2, 13}, {3, -9}, {4, 5}, {5, -2}}, {{-5, -1}, {-4, 3}, {-3, -1}, {-2, -7}, {-1, 16}, {0, -19}, {1, 16}, {2, -7}, {3, -1}, {4, 3}, {5, -1}}}"
"{ 12.,  10.,   6., 343.}"	"{-2.6067, -2.4187, -2.8036, -3.2504, -3.8457, -3.6811, -3.8151, -3.3444, -2.4088, -3.3743, -2.9649, -3.4447, -3.6619, -3.3199, -3.6520, -4.8033, -1.8506, -2.7666, -3.8539, -1.1469, -2.1480, -1.8142, -2.7539, -1.6715, -1.8043}"	"{15, 10, -2, 55, {{-10, -1}, {-9, 4}, {-8, -8}, {-7, 14}, {-6, -20}, {-5, 22}, {-4, -21}, {-3, 15}, {-2, -6}, {-1, -3}, {0, 11}, {1, -13}, {2, 13}, {3, -9}, {4, 5}, {5, -2}}, {{-5, -1}, {-4, 3}, {-3, -1}, {-2, -7}, {-1, 16}, {0, -19}, {1, 16}, {2, -7}, {3, -1}, {4, 3}, {5, -1}}}"
"{ 20.,  16.,   8., 613.}"	"{-4.6656, -4.3291, -5.0179, -5.8200, -6.8845, -6.5887, -6.8266, -5.9861, -4.3115, -6.0399, -5.3069, -6.1642, -6.5519, -5.9411, -6.5345, -8.5966, -3.3110, -4.9522, -6.8990, -2.0535, -3.8435, -3.2481, -4.9291, -2.9916, -3.2312}"	"{15, 10, -2, 55, {{-10, -1}, {-9, 4}, {-8, -8}, {-7, 14}, {-6, -20}, {-5, 22}, {-4, -21}, {-3, 15}, {-2, -6}, {-1, -3}, {0, 11}, {1, -13}, {2, 13}, {3, -9}, {4, 5}, {5, -2}}, {{-5, -1}, {-4, 3}, {-3, -1}, {-2, -7}, {-1, 16}, {0, -19}, {1, 16}, {2, -7}, {3, -1}, {4, 3}, {5, -1}}}"
"{2.0000e+01, 1.4000e+01, 2.0000e+00, 5.8950e+03}"	"{-44.8683, -41.5862, -48.2249, -55.9779, -66.2547, -63.3272, -65.5753, -57.5149, -41.4605, -58.1286, -50.9874, -59.2160, -62.8967, -57.0881, -62.7772, -82.6215, -31.8204, -47.6293, -66.3018, -19.7708, -36.9506, -31.2329, -47.3750, -28.7251, -31.0954}"	"{15, 10, -2, 55, {{-10, -1}, {-9, 4}, {-8, -8}, {-7, 14}, {-6, -20}, {-5, 22}, {-4, -21}, {-3, 15}, {-2, -6}, {-1, -3}, {0, 11}, {1, -13}, {2, 13}, {3, -9}, {4, 5}, {5, -2}}, {{-5, -1}, {-4, 3}, {-3, -1}, {-2, -7}, {-1, 16}, {0, -19}, {1, 16}, {2, -7}, {3, -1}, {4, 3}, {5, -1}}}"
