"Input invariants"	"Petal permutation"	"Actual invariants"
"{ 20.,  10.,   0., 769.}"	"{ -67.2564,  -99.8485, -102.2534, -114.8901, -143.9105, -124.5642,-141.5195, -147.2737,  -97.9821, -125.2575, -113.8150, -132.3781,-119.7400, -114.9202, -133.0282, -142.7260,  -95.3577, -108.6888,-136.1975,  -87.0370, -113.1864,  -88.9074, -108.3908,  -74.7058, -92.9328}"	"{18, 10, 0, 249, {{-10, 2}, {-9, -4}, {-8, 5}, {-7, -2}, {-6, -5}, {-5, 7}, {-4, -1}, {-3, -13}, {-2, 30}, {-1, -45}, {0, 54}, {1, -52}, {2, 42}, {3, -24}, {4, 6}, {5, 5}, {6, -7}, {7, 4}, {8, -1}}, {{-5, -2}, {-4, 8}, {-3, -18}, {-2, 30}, {-1, -42}, {0, 49}, {1, -42}, {2, 30}, {3, -18}, {4, 8}, {5, -2}}}"
"{ 7.,  4.,  0., 17.}"	"{-2.2085, -3.3006, -3.3743, -3.7774, -4.7357, -4.1062, -4.6842, -4.8700,-3.2399, -4.1286, -3.7537, -4.3818, -3.9582, -3.7999, -4.3982, -4.7099,-3.1620, -3.5751, -4.4991, -2.8642, -3.7425, -2.9405, -3.5810, -2.4689,-3.0827}"	"{17, 12, 0, 129, {{-8, 2}, {-7, -4}, {-6, 6}, {-5, -5}, {-4, -3}, {-3, 12}, {-2, -19}, {-1, 19}, {0, -10}, {1, -3}, {2, 19}, {3, -32}, {4, 39}, {5, -36}, {6, 26}, {7, -14}, {8, 5}, {9, -1}}, {{-6, -1}, {-5, 3}, {-4, -3}, {-3, -3}, {-2, 16}, {-1, -32}, {0, 41}, {1, -32}, {2, 16}, {3, -3}, {4, -3}, {5, 3}, {6, -1}}}"
"{1.9000e+01, 1.4000e+01, 2.0000e+00, 2.1070e+03}"	"{-182.1516, -270.3499, -276.8662, -311.1236, -389.7058, -337.2942,-383.1550, -398.7399, -265.2928, -339.1784, -308.1867, -358.4022,-324.2026, -311.1544, -360.1917, -386.4698, -258.1554, -294.3315,-368.7662, -235.7023, -306.4640, -240.7188, -293.4801, -202.2753,-251.5887}"	"{18, 10, 0, 249, {{-10, 2}, {-9, -4}, {-8, 5}, {-7, -2}, {-6, -5}, {-5, 7}, {-4, -1}, {-3, -13}, {-2, 30}, {-1, -45}, {0, 54}, {1, -52}, {2, 42}, {3, -24}, {4, 6}, {5, 5}, {6, -7}, {7, 4}, {8, -1}}, {{-5, -2}, {-4, 8}, {-3, -18}, {-2, 30}, {-1, -42}, {0, 49}, {1, -42}, {2, 30}, {3, -18}, {4, 8}, {5, -2}}}"
"{11.,  6., -4.,  5.}"	"{-1.9429, -2.9347, -2.9912, -3.3351, -4.1846, -3.6384, -4.1659, -4.3309,-2.8787, -3.6526, -3.3266, -3.9002, -3.5116, -3.3762, -3.9061, -4.1772,-2.8183, -3.1569, -3.9960, -2.5355, -3.3256, -2.6153, -3.1793, -2.1933,-2.7541}"	"{17, 12, 0, 129, {{-8, 2}, {-7, -4}, {-6, 6}, {-5, -5}, {-4, -3}, {-3, 12}, {-2, -19}, {-1, 19}, {0, -10}, {1, -3}, {2, 19}, {3, -32}, {4, 39}, {5, -36}, {6, 26}, {7, -14}, {8, 5}, {9, -1}}, {{-6, -1}, {-5, 3}, {-4, -3}, {-3, -3}, {-2, 16}, {-1, -32}, {0, 41}, {1, -32}, {2, 16}, {3, -3}, {4, -3}, {5, 3}, {6, -1}}}"
"{  16.,   10.,    0., 1429.}"	"{-123.7523, -183.6791, -188.1066, -211.3781, -264.7673, -229.1607,-260.3238, -270.9114, -180.2435, -230.4404, -209.3844, -243.5065,-220.2686, -211.4033, -244.7189, -262.5709, -175.3981, -199.9694,-250.5456, -160.1359, -208.2156, -163.5488, -199.3947, -137.4285,-170.9361}"	"{18, 10, 0, 249, {{-10, 2}, {-9, -4}, {-8, 5}, {-7, -2}, {-6, -5}, {-5, 7}, {-4, -1}, {-3, -13}, {-2, 30}, {-1, -45}, {0, 54}, {1, -52}, {2, 42}, {3, -24}, {4, 6}, {5, 5}, {6, -7}, {7, 4}, {8, -1}}, {{-5, -2}, {-4, 8}, {-3, -18}, {-2, 30}, {-1, -42}, {0, 49}, {1, -42}, {2, 30}, {3, -18}, {4, 8}, {5, -2}}}"
"{10.,  8.,  4., 53.}"	"{ -5.4766,  -8.1569,  -8.3483,  -9.3632, -11.7326, -10.1640, -11.5685,-12.0344,  -8.0067, -10.2185,  -9.2878, -10.8205,  -9.7832,  -9.3899,-10.8684, -11.6511,  -7.8021,  -8.8595, -11.1229,  -7.0938,  -9.2477, -7.2656,  -8.8531,  -6.1025,  -7.6043}"	"{18, 10, 0, 249, {{-10, 2}, {-9, -4}, {-8, 5}, {-7, -2}, {-6, -5}, {-5, 7}, {-4, -1}, {-3, -13}, {-2, 30}, {-1, -45}, {0, 54}, {1, -52}, {2, 42}, {3, -24}, {4, 6}, {5, 5}, {6, -7}, {7, 4}, {8, -1}}, {{-5, -2}, {-4, 8}, {-3, -18}, {-2, 30}, {-1, -42}, {0, 49}, {1, -42}, {2, 30}, {3, -18}, {4, 8}, {5, -2}}}"
"{ 26.,  16.,   4., 801.}"	"{ -70.4519, -104.6089, -107.1265, -120.3547, -150.7576, -130.4963,-148.2674, -154.2951, -102.6542, -131.2198, -119.2347, -138.6908,-125.4476, -120.3984, -139.3698, -149.5246,  -99.9094, -113.8586,-142.6875,  -91.1753, -118.5826,  -93.1466, -113.5572,  -78.2659, -97.3693}"	"{18, 10, 0, 249, {{-10, 2}, {-9, -4}, {-8, 5}, {-7, -2}, {-6, -5}, {-5, 7}, {-4, -1}, {-3, -13}, {-2, 30}, {-1, -45}, {0, 54}, {1, -52}, {2, 42}, {3, -24}, {4, 6}, {5, 5}, {6, -7}, {7, 4}, {8, -1}}, {{-5, -2}, {-4, 8}, {-3, -18}, {-2, 30}, {-1, -42}, {0, 49}, {1, -42}, {2, 30}, {3, -18}, {4, 8}, {5, -2}}}"
"{ 21.,  12.,  -2., 207.}"	"{-19.1902, -28.5227, -29.2071, -32.7965, -41.0850, -35.5703, -40.4385,-42.0811, -27.9909, -35.7661, -32.5036, -37.8267, -34.2064, -32.8310,-38.0013, -40.7603, -27.2568, -31.0264, -38.9062, -24.8444, -32.3332,-25.4012, -30.9628, -21.3400, -26.5649}"	"{18, 10, 0, 249, {{-10, 2}, {-9, -4}, {-8, 5}, {-7, -2}, {-6, -5}, {-5, 7}, {-4, -1}, {-3, -13}, {-2, 30}, {-1, -45}, {0, 54}, {1, -52}, {2, 42}, {3, -24}, {4, 6}, {5, 5}, {6, -7}, {7, 4}, {8, -1}}, {{-5, -2}, {-4, 8}, {-3, -18}, {-2, 30}, {-1, -42}, {0, 49}, {1, -42}, {2, 30}, {3, -18}, {4, 8}, {5, -2}}}"
"{ 24.,  16., -10.,   7.}"	"{-3.7853, -5.7294, -5.8368, -6.5067, -8.1657, -7.1002, -8.1286, -8.4562,-5.6168, -7.1224, -6.4926, -7.6129, -6.8501, -6.5885, -7.6230, -8.1509,-5.5012, -6.1580, -7.8004, -4.9498, -6.4904, -5.1055, -6.2035, -4.2808,-5.3809}"	"{17, 12, 0, 129, {{-8, 2}, {-7, -4}, {-6, 6}, {-5, -5}, {-4, -3}, {-3, 12}, {-2, -19}, {-1, 19}, {0, -10}, {1, -3}, {2, 19}, {3, -32}, {4, 39}, {5, -36}, {6, 26}, {7, -14}, {8, 5}, {9, -1}}, {{-6, -1}, {-5, 3}, {-4, -3}, {-3, -3}, {-2, 16}, {-1, -32}, {0, 41}, {1, -32}, {2, 16}, {3, -3}, {4, -3}, {5, 3}, {6, -1}}}"
"{ 18.,  16.,  -2., 459.}"	"{-40.8303, -60.6315, -62.0900, -69.7524, -87.3750, -75.6310, -85.9422,-89.4361, -59.4977, -76.0516, -69.1097, -80.3899, -72.7085, -69.7858,-80.7822, -86.6630, -57.9123, -65.9880, -82.7010, -52.8429, -68.7305,-53.9898, -65.8184, -45.3633, -56.4407}"	"{18, 10, 0, 249, {{-10, 2}, {-9, -4}, {-8, 5}, {-7, -2}, {-6, -5}, {-5, 7}, {-4, -1}, {-3, -13}, {-2, 30}, {-1, -45}, {0, 54}, {1, -52}, {2, 42}, {3, -24}, {4, 6}, {5, 5}, {6, -7}, {7, 4}, {8, -1}}, {{-5, -2}, {-4, 8}, {-3, -18}, {-2, 30}, {-1, -42}, {0, 49}, {1, -42}, {2, 30}, {3, -18}, {4, 8}, {5, -2}}}"
"{12.,  8.,  6.,  3.}"	"{-2.2497, -3.4105, -3.4699, -3.8563, -4.8462, -4.2209, -4.8374, -5.0262,-3.3469, -4.2362, -3.8545, -4.5341, -4.0755, -3.9177, -4.5331, -4.8464,-3.2739, -3.6542, -4.6402, -2.9391, -3.8644, -3.0371, -3.6937, -2.5475,-3.2054}"	"{19, 14, 2, 263, {{-8, 1}, {-7, -1}, {-6, 1}, {-5, 1}, {-4, -3}, {-2, 6}, {-1, -13}, {0, 15}, {1, -7}, {2, -8}, {3, 27}, {4, -45}, {5, 57}, {6, -59}, {7, 50}, {8, -33}, {9, 17}, {10, -6}, {11, 1}}, {{-7, -1}, {-6, 1}, {-5, 3}, {-4, -10}, {-3, 18}, {-2, -30}, {-1, 46}, {0, -53}, {1, 46}, {2, -30}, {3, 18}, {4, -10}, {5, 3}, {6, 1}, {7, -1}}}"
"{  18.,   16.,    4., 1757.}"	"{-152.1233, -225.7904, -231.2305, -259.8364, -325.4655, -281.6964,-320.0032, -333.0183, -221.5670, -283.2687, -257.3870, -299.3304,-270.7654, -259.8691, -300.8237, -322.7677, -215.6086, -245.8124,-307.9828, -196.8477, -255.9520, -201.0433, -245.1069, -168.9348,-210.1245}"	"{18, 10, 0, 249, {{-10, 2}, {-9, -4}, {-8, 5}, {-7, -2}, {-6, -5}, {-5, 7}, {-4, -1}, {-3, -13}, {-2, 30}, {-1, -45}, {0, 54}, {1, -52}, {2, 42}, {3, -24}, {4, 6}, {5, 5}, {6, -7}, {7, 4}, {8, -1}}, {{-5, -2}, {-4, 8}, {-3, -18}, {-2, 30}, {-1, -42}, {0, 49}, {1, -42}, {2, 30}, {3, -18}, {4, 8}, {5, -2}}}"
"{10.,  4., -4., 61.}"	"{ -5.9609,  -8.8639,  -9.0768, -10.1888, -12.7655, -11.0527, -12.5728,-13.0821,  -8.6991, -11.1151, -10.1009, -11.7605, -10.6331, -10.2050,-11.8115, -12.6662,  -8.4758,  -9.6395, -12.0932,  -7.7189, -10.0493, -7.8959,  -9.6237,  -6.6329,  -8.2603}"	"{18, 10, 0, 249, {{-10, 2}, {-9, -4}, {-8, 5}, {-7, -2}, {-6, -5}, {-5, 7}, {-4, -1}, {-3, -13}, {-2, 30}, {-1, -45}, {0, 54}, {1, -52}, {2, 42}, {3, -24}, {4, 6}, {5, 5}, {6, -7}, {7, 4}, {8, -1}}, {{-5, -2}, {-4, 8}, {-3, -18}, {-2, 30}, {-1, -42}, {0, 49}, {1, -42}, {2, 30}, {3, -18}, {4, 8}, {5, -2}}}"
"{11.,  8.,  2., 99.}"	"{ -9.4046, -13.9845, -14.3181, -16.0735, -20.1368, -17.4374, -19.8280,-20.6307, -13.7248, -17.5323, -15.9327, -18.5474, -16.7717, -16.0970,-18.6321, -19.9824, -13.3668, -15.2069, -19.0735, -12.1764, -15.8533,-12.4547, -15.1800, -10.4623, -13.0269}"	"{18, 10, 0, 249, {{-10, 2}, {-9, -4}, {-8, 5}, {-7, -2}, {-6, -5}, {-5, 7}, {-4, -1}, {-3, -13}, {-2, 30}, {-1, -45}, {0, 54}, {1, -52}, {2, 42}, {3, -24}, {4, 6}, {5, 5}, {6, -7}, {7, 4}, {8, -1}}, {{-5, -2}, {-4, 8}, {-3, -18}, {-2, 30}, {-1, -42}, {0, 49}, {1, -42}, {2, 30}, {3, -18}, {4, 8}, {5, -2}}}"
"{ 11.,   8.,  -2., 171.}"	"{-15.6286, -23.2164, -23.7741, -26.7015, -33.4494, -28.9561, -32.9138,-34.2495, -22.7830, -29.1177, -26.4605, -30.7869, -27.8423, -26.7235,-30.9336, -33.1818, -22.1816, -25.2611, -31.6672, -20.2285, -26.3187,-20.6752, -25.2031, -17.3702, -21.6175}"	"{18, 10, 0, 249, {{-10, 2}, {-9, -4}, {-8, 5}, {-7, -2}, {-6, -5}, {-5, 7}, {-4, -1}, {-3, -13}, {-2, 30}, {-1, -45}, {0, 54}, {1, -52}, {2, 42}, {3, -24}, {4, 6}, {5, 5}, {6, -7}, {7, 4}, {8, -1}}, {{-5, -2}, {-4, 8}, {-3, -18}, {-2, 30}, {-1, -42}, {0, 49}, {1, -42}, {2, 30}, {3, -18}, {4, 8}, {5, -2}}}"
"{ 24.,  16.,   6., 411.}"	"{-36.9041, -54.8239, -56.1398, -63.0559, -78.9870, -68.3804, -77.7100,-80.8668, -53.8010, -68.7561, -62.4788, -72.6913, -65.7447, -63.0992,-73.0403, -78.3538, -52.3726, -59.6523, -74.7769, -47.7664, -62.1472,-48.8185, -59.5120, -41.0162, -51.0413}"	"{18, 10, 0, 249, {{-10, 2}, {-9, -4}, {-8, 5}, {-7, -2}, {-6, -5}, {-5, 7}, {-4, -1}, {-3, -13}, {-2, 30}, {-1, -45}, {0, 54}, {1, -52}, {2, 42}, {3, -24}, {4, 6}, {5, 5}, {6, -7}, {7, 4}, {8, -1}}, {{-5, -2}, {-4, 8}, {-3, -18}, {-2, 30}, {-1, -42}, {0, 49}, {1, -42}, {2, 30}, {3, -18}, {4, 8}, {5, -2}}}"
"{ 17.,  10.,   4., 345.}"	"{-30.7361, -45.6521, -46.7490, -52.5129, -65.7792, -56.9441, -64.7087,-67.3370, -44.8003, -57.2583, -52.0293, -60.5296, -54.7470, -52.5433,-60.8214, -65.2486, -43.6082, -49.6787, -62.2681, -39.7805, -51.7505,-40.6509, -49.5564, -34.1550, -42.4989}"	"{18, 10, 0, 249, {{-10, 2}, {-9, -4}, {-8, 5}, {-7, -2}, {-6, -5}, {-5, 7}, {-4, -1}, {-3, -13}, {-2, 30}, {-1, -45}, {0, 54}, {1, -52}, {2, 42}, {3, -24}, {4, 6}, {5, 5}, {6, -7}, {7, 4}, {8, -1}}, {{-5, -2}, {-4, 8}, {-3, -18}, {-2, 30}, {-1, -42}, {0, 49}, {1, -42}, {2, 30}, {3, -18}, {4, 8}, {5, -2}}}"
"{  16.,   12.,   -2., 1575.}"	"{-136.3103, -202.3142, -207.1904, -232.8262, -291.6324, -252.4100,-286.7340, -298.3970, -198.5290, -253.8207, -230.6293, -268.2099,-242.6143, -232.8508, -269.5470, -289.2105, -193.1908, -220.2595,-275.9640, -176.3856, -229.3397, -180.1410, -219.6241, -151.3713,-188.2766}"	"{18, 10, 0, 249, {{-10, 2}, {-9, -4}, {-8, 5}, {-7, -2}, {-6, -5}, {-5, 7}, {-4, -1}, {-3, -13}, {-2, 30}, {-1, -45}, {0, 54}, {1, -52}, {2, 42}, {3, -24}, {4, 6}, {5, 5}, {6, -7}, {7, 4}, {8, -1}}, {{-5, -2}, {-4, 8}, {-3, -18}, {-2, 30}, {-1, -42}, {0, 49}, {1, -42}, {2, 30}, {3, -18}, {4, 8}, {5, -2}}}"
"{ 23.,  14.,   0., 781.}"	"{ -68.5783, -101.8195, -104.2710, -117.1514, -146.7441, -127.0193,-144.3145, -150.1817,  -99.9157, -127.7252, -116.0588, -134.9925,-122.1026, -117.1886, -135.6542, -145.5405,  -97.2432, -110.8283,-138.8846,  -88.7496, -115.4202,  -90.6630, -110.5302,  -76.1796, -94.7708}"	"{18, 10, 0, 249, {{-10, 2}, {-9, -4}, {-8, 5}, {-7, -2}, {-6, -5}, {-5, 7}, {-4, -1}, {-3, -13}, {-2, 30}, {-1, -45}, {0, 54}, {1, -52}, {2, 42}, {3, -24}, {4, 6}, {5, 5}, {6, -7}, {7, 4}, {8, -1}}, {{-5, -2}, {-4, 8}, {-3, -18}, {-2, 30}, {-1, -42}, {0, 49}, {1, -42}, {2, 30}, {3, -18}, {4, 8}, {5, -2}}}"
"{ 19.,  12.,  -2., 959.}"	"{ -83.5787, -124.0667, -127.0566, -142.7650, -178.8269, -154.7808,-175.8430, -182.9945, -121.7464, -155.6445, -141.4265, -164.4833,-148.7820, -142.7946, -165.2974, -177.3493, -118.4813, -135.0598,-169.2320, -108.1559, -140.6400, -110.4714, -134.6821,  -92.8266,-115.4681}"	"{18, 10, 0, 249, {{-10, 2}, {-9, -4}, {-8, 5}, {-7, -2}, {-6, -5}, {-5, 7}, {-4, -1}, {-3, -13}, {-2, 30}, {-1, -45}, {0, 54}, {1, -52}, {2, 42}, {3, -24}, {4, 6}, {5, 5}, {6, -7}, {7, 4}, {8, -1}}, {{-5, -2}, {-4, 8}, {-3, -18}, {-2, 30}, {-1, -42}, {0, 49}, {1, -42}, {2, 30}, {3, -18}, {4, 8}, {5, -2}}}"
